timestamp,target_x,target_y,gaze_x,gaze_y,error_x,error_y,error_distance,target_index
1763690695.02496,226,147,705,441,479,294,562.0293586637623,0
1763690695.0606358,226,147,712,441,486,294,568.0070422098655,0
1763690695.098925,226,147,731,331,505,184,537.4765111146719,0
1763690695.133457,226,147,727,427,501,280,573.934665271231,0
1763690695.17557,226,147,705,448,479,301,565.7225468372284,0
1763690695.209855,226,147,712,445,486,298,570.087712549569,0
1763690695.246588,226,147,705,448,479,301,565.7225468372284,0
1763690695.282814,226,147,705,437,479,290,559.9473189506313,0
1763690695.31927,226,147,699,434,473,287,553.2612402834668,0
1763690695.354516,226,147,683,409,457,262,526.7760434947663,0
1763690695.3914702,226,147,696,274,470,127,486.8562416155307,0
1763690695.426132,226,147,692,413,466,266,536.5743191767567,0
1763690695.461256,226,147,705,434,479,287,558.3994985671101,0
1763690695.498556,226,147,696,274,470,127,486.8562416155307,0
1763690695.5354471,226,147,686,391,460,244,520.7072113961933,0
1763690695.570849,226,147,746,365,520,218,563.8474971124728,0
1763690695.607402,226,147,975,342,749,195,773.9676995844206,0
1763690695.641694,226,147,683,420,457,273,532.3326027964096,0
1763690695.683415,226,147,702,445,476,298,561.5870368874267,0
1763690695.7199922,226,147,702,430,476,283,553.7734193693301,0
1763690695.754635,226,147,689,430,463,283,542.639843726942,0
1763690695.793015,226,147,676,398,450,251,515.2678914894659,0
1763690695.827771,226,147,680,427,454,280,533.4004124482844,0
1763690695.868364,226,147,683,434,457,287,539.6461803811827,0
1763690695.904116,226,147,673,430,447,283,529.0538724931516,0
1763690695.9391592,226,147,676,406,450,259,519.2119027911436,0
1763690695.976635,226,147,686,459,460,312,555.8273113117059,0
1763690696.010303,226,147,683,473,457,326,561.3599558215744,0
1763690696.048304,226,147,673,387,447,240,507.35490536704185,0
1763690696.089272,226,147,673,409,447,262,518.1245024123064,0
1763690696.1253781,226,147,670,413,444,266,517.5828436105663,0
1763690696.16186,226,147,667,423,441,276,520.2470566951821,0
1763690696.197953,226,147,667,376,441,229,496.9124671408436,0
1763690696.233292,226,147,667,361,441,214,490.1805789706483,0
1763690696.275999,226,147,680,430,454,283,534.9813080846844,0
1763690696.319369,226,147,692,441,466,294,550.9918329703263,0
1763690696.356378,226,147,680,427,454,280,533.4004124482844,0
1763690696.3924181,226,147,683,448,457,301,547.2202481633881,0
1763690696.426974,226,147,683,452,457,305,549.4306143636337,0
1763690696.470378,226,147,696,488,470,341,580.6728855388376,0
1763690696.506562,226,147,702,512,476,365,599.8341437430851,0
1763690696.553654,226,147,705,498,479,351,593.8366778837427,0
1763690696.5904682,226,147,721,544,495,397,634.5344750287411,0
1763690696.629229,226,147,721,544,495,397,634.5344750287411,0
1763690696.671276,226,147,721,548,495,401,637.0447394021867,0
1763690696.713813,226,147,715,555,489,408,636.8555566217508,0
1763690696.756969,226,147,718,544,492,397,632.196962979102,0
1763690696.7969549,226,147,721,516,495,369,617.4026239011298,0
1763690696.8350668,226,147,715,544,489,397,629.8650649147006,0
1763690696.872143,226,147,727,413,501,266,567.23628233744,0
1763690696.909877,226,147,699,448,473,301,560.6514068474278,0
1763690696.947052,226,147,731,395,505,248,562.6091005307326,0
1763690696.982344,226,147,721,361,495,214,539.2782213292134,0
1763690697.018665,756,147,676,342,-80,195,210.77238908357992,1
1763690697.056011,756,147,673,365,-83,218,233.2659426491574,1
1763690697.092345,756,147,667,427,-89,280,293.8043566729398,1
1763690697.130465,756,147,670,448,-86,301,313.0447252390623,1
1763690697.166761,756,147,670,452,-86,305,316.89272632864265,1
1763690697.2071948,756,147,670,455,-86,308,319.7811751807789,1
1763690697.244163,756,147,667,427,-89,280,293.8043566729398,1
1763690697.287217,756,147,724,346,-32,199,201.55644370746373,1
1763690697.32445,756,147,663,395,-93,248,264.86411610484345,1
1763690697.368692,756,147,663,372,-93,225,243.46252278328177,1
1763690697.407464,756,147,663,391,-93,244,261.1225765804252,1
1763690697.446534,756,147,667,423,-89,276,289.99482754007875,1
1763690697.4822369,756,147,667,376,-89,229,245.68679248181007,1
1763690697.5173209,756,147,667,420,-89,273,287.14108030722457,1
1763690697.558078,756,147,673,481,-83,334,344.15839376659113,1
1763690697.597147,756,147,663,376,-93,229,247.1639132235934,1
1763690697.634739,756,147,663,369,-93,222,240.69275020241054,1
1763690697.671476,756,147,663,358,-93,211,230.58620947489467,1
1763690697.7070808,756,147,663,452,-93,305,318.86360720533787,1
1763690697.7422662,756,147,667,369,-89,222,239.17566765873153,1
1763690697.783039,756,147,667,427,-89,280,293.8043566729398,1
1763690697.823051,756,147,667,387,-89,240,255.9707014484275,1
1763690697.8604832,756,147,667,413,-89,266,280.49420671379295,1
1763690697.9029388,756,147,670,391,-86,244,258.7121953059036,1
1763690697.9383922,756,147,670,409,-86,262,275.7535131235865,1
1763690697.974624,756,147,670,358,-86,211,227.85302280198084,1
1763690698.01506,756,147,680,491,-76,344,352.29533065313257,1
1763690698.054261,756,147,667,395,-89,248,263.48624252510797,1
1763690698.0910962,756,147,667,406,-89,259,273.86493021195685,1
1763690698.134506,756,147,667,372,-89,225,241.96280705926685,1
1763690698.171088,756,147,667,420,-89,273,287.14108030722457,1
1763690698.207076,756,147,667,413,-89,266,280.49420671379295,1
1763690698.2472498,756,147,667,395,-89,248,263.48624252510797,1
1763690698.283045,756,147,667,413,-89,266,280.49420671379295,1
1763690698.3270469,756,147,667,387,-89,240,255.9707014484275,1
1763690698.3657432,756,147,667,409,-89,262,276.70381276737044,1
1763690698.402842,756,147,667,376,-89,229,245.68679248181007,1
1763690698.438781,756,147,667,339,-89,192,211.62466774929618,1
1763690698.474596,756,147,667,346,-89,199,217.9954127957742,1
1763690698.512544,756,147,667,354,-89,207,225.32199182503248,1
1763690698.550763,756,147,667,350,-89,203,221.65288177689007,1
1763690698.588496,756,147,670,395,-86,248,262.48809496813374,1
1763690698.629368,756,147,670,391,-86,244,258.7121953059036,1
1763690698.6664782,756,147,673,427,-83,280,292.04280508172087,1
1763690698.702954,756,147,670,387,-86,240,254.94313091354314,1
1763690698.74287,756,147,667,391,-89,244,259.724854413281,1
1763690698.779847,756,147,667,365,-89,218,235.46761985462035,1
1763690698.818527,756,147,667,409,-89,262,276.70381276737044,1
1763690698.858418,756,147,667,376,-89,229,245.68679248181007,1
1763690698.9030359,756,147,670,395,-86,248,262.48809496813374,1
1763690698.939028,756,147,667,402,-89,255,270.085171751431,1
1763690698.978168,756,147,667,369,-89,222,239.17566765873153,1
1763690699.019281,1286,147,667,350,-619,203,651.436873380683,2
1763690699.067633,1286,147,670,395,-616,248,664.0481910223083,2
1763690699.106842,1286,147,667,413,-619,266,673.7336268882532,2
1763690699.143326,1286,147,667,376,-619,229,660.001515149776,2
1763690699.1801758,1286,147,667,384,-619,237,662.8197341660854,2
1763690699.222917,1286,147,705,346,-581,199,614.135164275748,2
1763690699.260931,1286,147,663,354,-623,207,656.4891469019119,2
1763690699.3031511,1286,147,663,395,-623,248,670.5467918050164,2
1763690699.341006,1286,147,663,354,-623,207,656.4891469019119,2
1763690699.3802931,1286,147,718,289,-568,142,585.4809988377078,2
1763690699.415593,1286,147,667,391,-619,244,665.3547925731053,2
1763690699.452835,1286,147,667,380,-619,233,661.4000302388865,2
1763690699.491005,1286,147,670,427,-616,280,676.650574521296,2
1763690699.531682,1286,147,670,402,-616,255,666.6940827696013,2
1763690699.5751889,1286,147,667,423,-619,276,677.744051984228,2
1763690699.6119099,1286,147,670,430,-616,283,677.89748487511,2
1763690699.6496089,1286,147,676,452,-610,305,682.0007331374359,2
1763690699.684855,1286,147,676,437,-610,290,675.4257916307313,2
1763690699.7236538,1286,147,680,441,-606,294,673.5517797467393,2
1763690699.763694,1286,147,563,203,-723,56,725.1654983519279,2
1763690699.80723,1286,147,683,445,-603,298,672.6165326543795,2
1763690699.844151,1286,147,680,441,-606,294,673.5517797467393,2
1763690699.886679,1286,147,676,417,-610,270,667.0832032063167,2
1763690699.924667,1286,147,683,448,-603,301,673.9510367971845,2
1763690699.9618292,1286,147,670,387,-616,240,661.1021101161302,2
1763690700.002306,1286,147,670,402,-616,255,666.6940827696013,2
1763690700.038891,1286,147,673,417,-613,270,669.8275897572449,2
1763690700.078806,1286,147,670,409,-616,262,669.4027188471824,2
1763690700.117325,1286,147,670,406,-616,259,668.2342403678518,2
1763690700.154944,1286,147,667,376,-619,229,660.001515149776,2
1763690700.1910021,1286,147,663,384,-623,237,666.5568242843216,2
1763690700.230554,1286,147,724,316,-562,169,586.8602900179906,2
1763690700.2667148,1286,147,660,342,-626,195,655.6683612925059,2
1763690700.3032162,1286,147,660,327,-626,180,651.3647211816127,2
1763690700.339862,1286,147,670,246,-616,99,623.9046401494383,2
1763690700.375515,1286,147,660,361,-626,214,661.5678347682874,2
1763690700.414548,1286,147,663,339,-623,192,651.9148717432362,2
1763690700.4545548,1286,147,667,312,-619,165,640.6137681942217,2
1763690700.495157,1286,147,667,376,-619,229,660.001515149776,2
1763690700.532649,1286,147,663,346,-623,199,654.0107032763302,2
1763690700.570168,1286,147,660,335,-626,188,653.6206851071958,2
1763690700.6072981,1286,147,667,258,-619,111,628.8735962019713,2
1763690700.6445272,1286,147,663,270,-623,123,635.0259837203514,2
1763690700.687275,1286,147,667,234,-619,87,625.0839943559586,2
1763690700.724607,1286,147,833,452,-453,305,546.1080479172597,2
1763690700.7671192,1286,147,863,427,-423,280,507.2760589659244,2
1763690700.8061938,1286,147,878,417,-408,270,489.24840316550853,2
1763690700.844966,1286,147,869,423,-417,276,500.06499577554916,2
1763690700.8939378,1286,147,878,413,-408,266,487.05235858170323,2
1763690700.92996,1286,147,1501,981,215,834,861.2670898159292,2
1763690700.9649448,1286,147,1491,981,205,834,858.8253605943411,2
1763690701.0024781,1286,147,1481,981,195,834,856.4934325492519,2
1763690701.043812,226,491,1476,981,1250,490,1342.6093996393738,3
1763690701.081364,226,491,1478,981,1252,490,1344.4716434346988,3
1763690701.120422,226,491,1481,981,1255,490,1347.2657495832068,3
1763690701.1568499,226,491,1483,981,1257,490,1349.1289782670892,3
1763690701.194761,226,491,1478,981,1252,490,1344.4716434346988,3
1763690701.229892,226,491,1476,981,1250,490,1342.6093996393738,3
1763690701.269727,226,491,1468,981,1242,490,1335.1644093518971,3
1763690701.3081222,226,491,1471,981,1245,490,1337.9555299037409,3
1763690701.3496268,226,491,1434,981,1208,490,1303.596563358465,3
1763690701.388941,226,491,1369,981,1143,490,1243.6032325464582,3
1763690701.4267268,226,491,1367,981,1141,490,1241.7652757264555,3
1763690701.4683032,226,491,1367,981,1141,490,1241.7652757264555,3
1763690701.506496,226,491,1364,981,1138,490,1239.0092816440076,3
1763690701.548237,226,491,1357,981,1131,490,1232.583060081551,3
1763690701.588405,226,491,1354,981,1128,490,1229.8308826826558,3
1763690701.625132,226,491,1354,981,1128,490,1229.8308826826558,3
1763690701.667955,226,491,1354,981,1128,490,1229.8308826826558,3
1763690701.710927,226,491,1357,981,1131,490,1232.583060081551,3
1763690701.749544,226,491,1349,981,1123,490,1225.2465058101573,3
1763690701.785161,226,491,1347,981,1121,490,1223.413666753809,3
1763690701.827049,226,491,1344,981,1118,490,1220.6653923168299,3
1763690701.869626,226,491,1342,981,1116,490,1218.8338689091306,3
1763690701.906443,226,491,1342,981,1116,490,1218.8338689091306,3
1763690701.942858,226,491,1344,981,1118,490,1220.6653923168299,3
1763690701.982319,226,491,1347,981,1121,490,1223.413666753809,3
1763690702.020554,226,491,1344,981,1118,490,1220.6653923168299,3
1763690702.062598,226,491,1342,981,1116,490,1218.8338689091306,3
1763690702.1009731,226,491,1339,981,1113,490,1216.0875790830198,3
1763690702.138176,226,491,1337,981,1111,490,1214.2573862241893,3
1763690702.17438,226,491,1334,981,1108,490,1211.5131035197267,3
1763690702.216012,226,491,1332,981,1106,490,1209.684256324765,3
1763690702.2525709,226,491,1332,981,1106,490,1209.684256324765,3
1763690702.294998,226,491,1332,981,1106,490,1209.684256324765,3
1763690702.332702,226,491,1327,981,1101,490,1205.1145173799873,3
1763690702.370176,226,491,1321,981,1095,490,1199.6353612660807,3
1763690702.413795,226,491,1319,981,1093,490,1197.8100851136628,3
1763690702.450767,226,491,1319,981,1093,490,1197.8100851136628,3
1763690702.49379,226,491,1319,981,1093,490,1197.8100851136628,3
1763690702.529064,226,491,1316,981,1090,490,1195.0732195141852,3
1763690702.5666718,226,491,1314,981,1088,490,1193.2493452753286,3
1763690702.603629,226,491,1311,981,1085,490,1190.5145946186465,3
1763690702.647027,226,491,1306,981,1080,490,1185.9595271340418,3
1763690702.686888,226,491,1301,981,1075,490,1181.4080582085091,3
1763690702.723115,226,491,1301,981,1075,490,1181.4080582085091,3
1763690702.760652,226,491,1304,981,1078,490,1184.1385054122682,3
1763690702.7995672,226,491,1309,981,1083,490,1188.6921384446016,3
1763690702.8395321,226,491,1316,981,1090,490,1195.0732195141852,3
1763690702.876396,226,491,1329,981,1103,490,1206.9420035776368,3
1763690702.919193,226,491,1339,981,1113,490,1216.0875790830198,3
1763690702.9549282,226,491,1342,981,1116,490,1218.8338689091306,3
1763690702.998369,226,491,1337,981,1111,490,1214.2573862241893,3
1763690703.0358899,226,491,1327,981,1101,490,1205.1145173799873,3
1763690703.0733812,756,491,1316,981,560,490,744.1102068914255,4
1763690703.117225,756,491,1311,981,555,490,740.3546447480423,4
1763690703.154322,756,491,1314,981,558,490,742.6062213582646,4
1763690703.196608,756,491,1319,981,563,490,746.3705514019159,4
1763690703.2337658,756,491,1324,981,568,490,750.1493184693298,4
1763690703.27629,756,491,1329,981,573,490,753.9423054849755,4
1763690703.3145359,756,491,1329,981,573,490,753.9423054849755,4
1763690703.350574,756,491,1329,981,573,490,753.9423054849755,4
1763690703.387617,756,491,1369,981,613,490,784.7732156489542,4
1763690703.428812,756,491,1409,981,653,490,816.4000244977948,4
1763690703.471505,756,491,1406,981,650,490,814.0024569987488,4
1763690703.5092978,756,491,1406,981,650,490,814.0024569987488,4
1763690703.547102,756,491,1409,981,653,490,816.4000244977948,4
1763690703.5822458,756,491,1409,981,653,490,816.4000244977948,4
1763690703.6216152,756,491,1411,981,655,490,818.0006112467154,4
1763690703.662949,756,491,1409,981,653,490,816.4000244977948,4
1763690703.6992269,756,491,1406,981,650,490,814.0024569987488,4
1763690703.742929,756,491,1399,981,643,490,808.4237750091223,4
1763690703.7796302,756,491,1397,981,641,490,806.8339358257064,4
1763690703.821891,756,491,1397,981,641,490,806.8339358257064,4
1763690703.867724,756,491,1399,981,643,490,808.4237750091223,4
1763690703.910526,756,491,1397,981,641,490,806.8339358257064,4
1763690703.946934,756,491,1394,981,638,490,804.4526089211222,4
1763690703.981607,756,491,1394,981,638,490,804.4526089211222,4
1763690704.018761,756,491,1392,981,636,490,802.8673613991292,4
1763690704.062093,756,491,1389,981,633,490,800.492973110945,4
1763690704.102612,756,491,1387,981,631,490,798.9123856844378,4
